id,name,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_scores_rating,accommodates,bathrooms,bedrooms,beds,property_type
3191,Malleson Garden Cottage,3754,Brigitte,Southern Suburbs,Ward 57,-33.94739,18.476,Entire home/apt,657,3,46,3/10/19,0.64,1,324,97,2,1,1,1,Guesthouse
13044,JAMBO Guest House / Green Room,50700,Barry & Mina,Cape Town,Ward 115,-33.90771,18.40535,Private room,1301,3,2,2/6/16,0.02,5,0,100,2,1,1,1,Bed and breakfast
15007,Blaauwberg House,59072,Dirk,Cape Town,Ward 23,-33.80114,18.4618,Entire home/apt,2042,2,26,1/31/19,0.4,4,336,97,6,3,3,4,House
15068,Grande Bay,59318,Linda,Cape Town,Ward 23,-33.78799,18.46082,Entire home/apt,2797,4,0,,,13,364,,6,2,3,5,Apartment
15077,Top relaxed beach living in style ,59342,Georg,Cape Town,Ward 4,-33.85878,18.4897,Entire home/apt,1343,6,5,12/10/16,0.07,5,347,100,2,1,1,2,Bed and breakfast
15180,The Melkbaai - Beachfront,59663,Heinri,Cape Town,Ward 83,-34.11124,18.82349,Entire home/apt,559,2,0,,,1,365,,2,1,1,1,Apartment
15199,Self catering apartment,59694,Alexa,Cape Town,Ward 115,-33.91044,18.41239,Entire home/apt,124994,14,2,4/15/16,0.03,1,365,90,2,1,1,1,Apartment
15285,Waterford Guest House,59964,Chris+Alison,Southern Suburbs,Ward 71,-34.03863,18.43128,Entire home/apt,895,2,6,1/2/18,0.07,3,319,100,4,1.5,2,3,Guesthouse
15331,Mountview Accommodation,60058,Francis,Southern Suburbs,Ward 60,-33.97069,18.49697,Entire home/apt,573,2,3,1/13/14,0.03,1,180,100,3,1,1,1,Apartment
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,I,Durbanville,Ward 112,-33.82924,18.63144,Entire home/apt,643,3,1,1/1/18,0.06,1,364,,3,1,1,2,Guest suite
15480,In hip designer district of Cape T.,60443,Jean,Cape Town,Ward 115,-33.92941,18.42277,Entire home/apt,601,30,13,2/27/17,0.12,1,300,82,2,1,1,1,Apartment
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,Cape Town,Ward 54,-33.96462,18.37595,Entire home/apt,17900,4,1,11/14/17,0.06,4,353,100,12,6.5,6,6,Villa
16259,Chambery - luxury self catering,63255,Cheryl,Southern Suburbs,Ward 59,-33.99463,18.46505,Entire home/apt,1245,2,6,12/31/16,0.1,3,258,100,2,1,1,2,Guesthouse
17270,VILLA CARRARA W SELF-CATERING-VIEWS,66986,Henri,Cape Town,Ward 115,-33.91073,18.40866,Entire home/apt,797,3,131,3/31/19,1.23,2,324,94,4,1,2,3,Apartment
18499,Rooms in Halaal Villa Cape Town De Tijger,71221,Abe,Parow,Ward 2,-33.88856,18.59054,Private room,699,7,0,,,1,364,,6,2,1,4,House
18974,Upmarket Room,72598,Hanlie,Bellville,Ward 70,-33.86889,18.60141,Private room,1133,1,0,,,1,365,,2,1,1,1,Bed and breakfast
19271,Largo House self catering suite,73439,Beverley,Cape Town,Ward 59,-33.97905,18.45676,Private room,615,2,37,3/3/19,0.42,3,338,98,2,1,1,2,House
19384,Room with a view under Table Mountain.,73764,Ingrid,Cape Town,Ward 77,-33.92667,18.40623,Private room,797,1,4,12/2/17,0.17,1,0,100,1,1,1,1,Apartment
19398,Apartments on the Beach,73779,Roger,Melkbosstrand,Ward 23,-33.73046,18.43966,Entire home/apt,4699,5,0,,,1,364,,5,,,4,Apartment
