name,city,price
Malleson Garden Cottage,Southern Suburbs,657
JAMBO Guest House / Green Room,Cape Town,1301
Blaauwberg House,Cape Town,2042
Grande Bay,Cape Town,2797
Top relaxed beach living in style,Cape Town,1343
The Melkbaai - Beachfront,Cape Town,559
Self catering apartment,Cape Town,124994
Waterford Guest House,Southern Suburbs,895
Mountview Accommodation,Southern Suburbs,573
"Aurora Self Catering Units, Durbanville, Cape Town",Durbanville,643
In hip designer district of Cape T.,Cape Town,601
Hollywood Mansion & Spa Camps Bay with Butler,Cape Town,17900
Chambery - luxury self catering,Southern Suburbs,1245
VILLA CARRARA W SELF-CATERING-VIEWS,Cape Town,797
Rooms in Halaal Villa Cape Town De Tijger,Parow,699
Upmarket Room,Bellville,1133
Largo House self catering suite,Cape Town,615
Room with a view under Table Mountain.,Cape Town,797
Apartments on the Beach,Melkbosstrand,4699
Apartment in Durbanville,Durbanville,2797
Private Room,Milnerton,1398
Apartment overlooking Simonstown Yacht Basin,Cape Town,797
MARINA VIEWS,Muizenberg,4000
Double Bedr0om to Rent,Cape Town,1217
Villa Honeywood Five Star Self Catering Villa,Fish Hoek,5999
"Annie, Private Room 4 2",Bellville,1398
ROOM TO LET,Muizenberg,1049
World Cup Football Cape Town,Cape Town,2377
Rooms in Family Home.,Cape Town,699
Sunny private bedroom with own entrance,Helderberg Estate,378
Heritage Home in Cape Town suburbs,Cape Town,1119
Avocet Cape Town Villa - Rooms/B&B,Blouberg,503
cape town 2010 private room,Milnerton,699
african  2010 villa in cape town,Milnerton,1818
The Original Majestic Apartment - Kalk Bay,Cape Town,1496
Walk to Green Point Stadium!,Cape Town,7650
world cup accomodation,Cape town,6293
Waterford-Paddaplek Self Catering,Southern Suburbs,699
Waterford-Sunbird  B&B Suite,Southern Suburbs,1007
"Halaal Accommodation in Parow North, Cape Town",Cape Town,685
nice garden apartment 15km > stadiu,Southern Suburbs,769
"Cosy, Downtown Loft with Mountain Views over Rooftop Deck",Cape Town,1384
Large Furnishished Studio-Suite,Blouberg,545
Ocean Blue Guest House,Blouberg,545
Furnished Garden Cottage For Rent,Blouberg,545
Purple House on Jarvis B&B,Cape Town,1398
Your Apartment in Cape Town,Cape Town,2000
MODERN 2 BEDROOM APT IN CAPE TOWN,Cape Town,1538
Huge Bright Sunny 3 Bedroom 2 Bathroom in Fresnaye,Cape Town,867
Drafstap Cottage,Kraaifontein,895
Apartment Cape Town,Cape Town,1203
Devil's Peak -  Separate Apartment,Cape Town,489
Perfect Beachfront Apartment,Cape Town,1706
Unique Town House -Green Point,Cape Town,2405
Cape Cottage,Cape Town,895
ChicShak Self Catering Accommodation in Muizenberg,Cape Town,406
The Lions Guest House - The Lion Room,Cape Town,1608
4 Omega. Walk to the beach for Surf & Sun,Cape Town,811
Mid-century House with Breathtaking Views,Cape Town,6293
Green Elephant Backpackers Dorm Bed,Cape Town,182
The Studio,Cape Town,1804
GARDEN COTTAGE,Cape Town,2797
Constantia Villa - Cape Town,Cape Town,727
Windermere Quinns Holiday Home,Cape Town,713
BLUE ROBIN HOLIDAY HOME,Cape Town,951
Harbour Place,Cape Town,2196
Comfortable and easily accessible,Cape Town,434
Heritage Homestay: Experience local hospitality,Cape Town,559
Redbourne Hilldrop,Cape Town,1203
Art filled apartment in the CityBowl,Cape Town,2797
Jarvis Street Cottage,Cape Town,1496
Self Catering Seaside Apartment,Cape Town,853
Solanga Villa,Cape Town,1398
Spacious Heritage Cottage in the City,Cape Town,1203
Braeside House Loft Apartment,Cape Town,1007
"Bellevue Manor Guest House, SEA POINT, CAPE TOWN",Cape Town,461
Green Elephant Private Room,Cape Town,545
Navine's Homestay - Ottery,Cape Town,294
Sandyshores Self-Catering  Accommodation Blouberg,Cape Town,853
"en-suite room in Guesthouse, Somerset West",Cape Town,755
"SELF-CATERING Apartment, Somerset West",Cape Town,895
"Kloof Street Cottage, huge deck & panoramic views",Cape Town,1021
The Lions Private Buffalo Apartment,Cape Town,1776
Cottage de la Mer with sea views and dream pool,Cape Town,1902
Comfortable and pretty room with experienced hosts,Cape Town,350
Braeside House Main Apartment,Cape Town,1496
Green Elephant Backpackers Dorm Bed,Cape Town,182
Green Elephant Private Room,Cape Town,643
Family home  Cape town,Cape Town,2503
"""Sevensleepers"" Holiday Apartment",Cape Town,783
"Gay-friendly, City Bowl  Cape Town",Cape Town,350
Green Elephant Backpackers Dorm Bed,Cape Town,210
Green Elephant Private Room,Cape Town,643
Stunning sea view apt in the Cape,Cape Town,1245
Charming budget bedsit in the Cape,Cape Town,448
Cape Town City Vibes AVAILABLE 1 Oct 2018,Cape Town,629
Serenity Lodge - Helen's Cottage,Cape Town,1902
City Chic meets Table Mountain,Cape Town,1678
Beach View Studio with Balcony Walkout,Cape Town,1203
"House 2 Bed & 2 bath, garden, garage, views, patio",Cape Town,2699
Surfers' Dream,Cape Town,1203
Light & Fun House in Cape Town,Cape Town,811
Victorian beauty in observatory!,Cape Town,1944
Vredekloof Accommodation Plataan 2 Bedroom House,Cape Town,1594
Fabulous views,Cape Town,573
5-star Penthouse with amazing views,Cape Town,3440
Camps Bay Villa with Mountain Views near the Beach,Cape Town,6992
Hareb House Studio- City Centre - no cleaning fee,Cape Town,475
Feel at home,Cape Town,1189
Binkabi studio apartment,Cape Town,797
Tristan's self catering Beach House,Cape Town,3496
Single room in Artist's lake cottage,Cape Town,350
Stylish Victorian Home in Cape Town,Cape Town,9999
Spacious garden cottage with pool,Cape Town,531
Spacious room in sunfilled flat,Cape Town,252
Beautiful spacious cottage in upper Zwaanswyk,Cape Town,1972
Seaview cottage in Scarborough,Cape Town,839
Explore Cape Town from a Cosy Apartment in a Prime Location,Cape Town,993
RONDEBOSCH CAPE TOWN FAMILY HOLIDAY HOME,Cape Town,7006
A Sunflower Stop Backpackers Hostel,Cape Town,1049
Stylish Annex Room in Popular Guest,Cape Town,783
Accommodation in Green Point,Cape Town,1944
Green Point - Chic White Studio,Cape Town,783
Tamboerskloof Quaint Garden Studio,Cape Town,755
En-suite With Separate Entrance in Green Point,Cape Town,615
apartment with the best view for 4,Cape Town,1343
Super-sunny Seapoint Flat,Cape Town,1259
"Sunny + Modern with Balcony, AirCon & Wifi",Cape Town,629
"Spectacular Views with AirCon, Free Wifi & Parking",Cape Town,741
Modern design flat with ocean view,Cape Town,867
Walking Distance to the Waterfront. Balcony & Wifi,Cape Town,881
"Rockwell 2 bed, 2 bath  in Waterkant  GLASS FIBRE",Cape Town,2196
"CBD Loft. Free Wifi, Parking, Gym, Balcony & BBQ",Cape Town,881
COLLINGWOOD STUD Entire Guest House,Cape Town,5943
Outside Guest room with en suite,Cape Town,503
5 Kingfisher: Studio apartment with a view,Cape Town,671
A Sunflower Stop Double en-suite,Cape Town,1049
A Sunflower Stop Twin shared bath,Cape Town,853
Near Everywhere You Want To Be. Wifi. Parking. Gym,Cape Town,434
2Oceans Apartments w. garden & pool!,Cape Town,685
"The Inn at Castle Hill, Kalk Bay Superior Room (2)",Cape Town,1496
Modern Beach Front Apartment in Bloubergstrand,Cape Town,1384
De Waterkant Apt. Spacious Balcony & Mountain View,Cape Town,1356
"City Centre Pad with AirCon, Free WiFi & Parking",Cape Town,448
Spacious 1 Bedroom Cottage with off-street parking,Cape Town,713
Makai Surf Lodge Cape Town,Cape Town,713
Bree Street Loft - City Centre,Cape Town,1259
Cape Town Waterfront Apartment,Cape Town,1846
Bantry Bay Modern House Cape Town,Cape Town,8503
Lovely Guesthouse with Old-Fashioned Service and Ocean View,Cape Town,1105
Private Guest House in Quiet street,Cape Town,4223
At Last B & B -your home from home,Cape Town,601
Amazing Duplex Flat with private garden.,Cape Town,895
COLONIAL STYLE SEA POINT APARTMENT,Cape Town,1496
"Our family home, nice and cozy well",Cape Town,2797
"Stylish Apartment with Large, Covered Balcony",Cape Town,1454
"Colourful Loft with Free Wifi, Parking & Gym",Cape Town,671
Beautiful Loft Table Mountain Views in Trendy De Waterkant,Cape Town,993
2 bedroom spacious garden flat,Cape Town,1245
Twin Bedroom with Full bathroom,Cape Town,1203
Border of Green Point Loft. Free Wifi & Parking,Cape Town,434
View over Cape Town/Table Mountain,Cape Town,881
Self catering 3 bedrooms 3 bathrooms,Cape Town,1818
Separate entrance 2 bedrooms 2 bathrooms flat,Cape Town,1426
Separate entrance 1 bedroom flat,Cape Town,1007
"Friendly , stylish value for money",Cape Town,1301
"Llandudno Beach Apartment, private and secure.",Cape Town,2503
Bo Kaap Garden Flat (Cape Town),Cape Town,797
Magical manor house,Cape Town,4951
Stunning Beachfront Penthouse. Spectacular Views!,Cape Town,2559
Bay Leaf Cottage,Cape Town,825
Perfectly positioned Bakoven home,Cape Town,5006
OLIVE'S COTTAGE,Cape Town,2797
Maxwell's. Whole House,Cape Town,5006
"Sunny, spacious & centrally located",Cape Town,601
Private Garden Cottage,Cape Town,811
Fusion 4 Camps Bay,Cape Town,8027
Cape Town City Studio Apartment,Cape Town,797
Winelands Heaven.,Cape Town,224
Cape Cottage-A Home Away From Home,Cape Town,1105
Fabulous en-suite in arty Woodstock villa,Cape Town,378
Lido Serviced Apartment on Beach Front/Sea Views,Cape Town,1804
African Beach Studio 1 - Serviced / Sea Views,Cape Town,1203
ZEBRA PLACE ROSENDAL DURBANVILLE.CT,Cape Town,601
GUINEA FOWL SELF CATERING APARTMENT DURBANVILLE CT,Cape Town,503
Enjoy a Private Room in Chartfield Guesthouse,Cape Town,1105
Zaida's Lodge - Guest Rooms,Cape Town,392
Room with a View - Green Point,Cape Town,755
Stylish Modern Apartment by V&A Waterfront,Cape Town,783
Rondebosch Loft Cape Town,Cape Town,1804
Open plan family home with pool and cottage,Cape Town,2993
Instaworthy Views. Free Parking. Walk Everywhere,Cape Town,448
"Location & personality! 413 Cascades, Green Point.",Cape Town,853
Large and clean room in a house,Cape Town,3916
Spectacular Cape Peninsular Getaway,Cape Town,1203
